acc_X(g)	acc_Y(g)	acc_Z(g)	Time	Cluster
0.879	0.453	-0.318	2024-01-02 18:02:35.844	2
0.799	0.63	-0.305	2024-01-02 18:02:35.964	2
0.522	0.737	-0.231	2024-01-02 18:02:36.550	1
0.389	0.782	-0.073	2024-01-02 18:02:36.187	1
0.476	0.887	-0.179	2024-01-02 18:02:36.266	1
0.449	0.84	-0.076	2024-01-02 18:02:36.390	1
0.502	0.871	-0.075	2024-01-02 18:02:36.445	1
0.505	0.881	-0.024	2024-01-02 18:02:36.564	1
0.518	0.813	-0.04	2024-01-02 18:02:36.654	1
0.577	0.818	-0.056	2024-01-02 18:02:36.787	1
0.614	0.797	-0.047	2024-01-02 18:02:36.865	1
0.542	0.838	-0.039	2024-01-02 18:02:36.994	1
0.489	0.845	-0.078	2024-01-02 18:02:37.950	1
0.387	0.817	-0.102	2024-01-02 18:02:37.194	1
0.367	0.834	-0.142	2024-01-02 18:02:37.255	1
0.523	0.881	-0.212	2024-01-02 18:02:37.387	1
0.646	0.845	-0.151	2024-01-02 18:02:37.465	1
0.78	0.716	-0.221	2024-01-02 18:02:37.590	1
0.818	0.669	-0.279	2024-01-02 18:02:37.697	2
0.804	0.568	-0.396	2024-01-02 18:02:37.794	2
0.767	0.513	-0.347	2024-01-02 18:02:37.855	2
0.823	0.534	-0.39	2024-01-02 18:02:37.991	2
0.823	0.507	-0.388	2024-01-02 18:02:38.650	2
0.792	0.463	-0.377	2024-01-02 18:02:38.192	2
0.81	0.515	-0.397	2024-01-02 18:02:38.296	2
0.788	0.517	-0.371	2024-01-02 18:02:38.397	2
0.803	0.469	-0.371	2024-01-02 18:02:38.491	2
0.824	0.409	-0.379	2024-01-02 18:02:38.603	2
0.81	0.387	-0.377	2024-01-02 18:02:38.666	2
0.766	0.439	-0.439	2024-01-02 18:02:38.787	2
0.708	0.502	-0.501	2024-01-02 18:02:38.895	2
0.548	0.899	-0.369	2024-01-02 18:02:38.993	1
0.565	0.713	-0.456	2024-01-02 18:02:39.113	2
0.617	0.528	-0.36	2024-01-02 18:02:39.203	2
0.668	0.538	-0.422	2024-01-02 18:02:39.265	2
0.633	0.599	-0.465	2024-01-02 18:02:39.393	2
0.986	0.387	-0.564	2024-01-02 18:02:39.490	2
0.828	0.74	-0.245	2024-01-02 18:02:39.594	2
0.777	0.457	-0.287	2024-01-02 18:02:39.692	2
0.708	0.439	-0.196	2024-01-02 18:02:39.809	1
0.733	0.339	-0.278	2024-01-02 18:02:39.894	2
0.979	0.275	-0.312	2024-01-02 18:02:40.120	2
0.846	0.472	-0.424	2024-01-02 18:02:40.910	2
0.657	0.731	-0.521	2024-01-02 18:02:40.196	2
0.532	0.74	-0.351	2024-01-02 18:02:40.292	1
0.671	0.616	-0.382	2024-01-02 18:02:40.409	2
0.608	0.563	-0.366	2024-01-02 18:02:40.496	2
0.557	0.625	-0.496	2024-01-02 18:02:40.612	2
0.8	0.46	-0.477	2024-01-02 18:02:40.690	2
0.764	0.718	-0.568	2024-01-02 18:02:40.794	2
1.106	0.502	-0.127	2024-01-02 18:02:40.894	2
0.78	0.501	-0.313	2024-01-02 18:02:41.900	2
0.899	0.357	-0.381	2024-01-02 18:02:41.920	2
0.799	0.396	-0.364	2024-01-02 18:02:41.274	2
0.817	0.379	-0.448	2024-01-02 18:02:41.305	2
1.342	0.384	-0.427	2024-01-02 18:06:18.962	2
1.264	-0.093	0.146	2024-01-02 18:06:19.450	0
0.789	0.95	0.131	2024-01-02 18:06:19.165	1
0.561	-0.04	-0.028	2024-01-02 18:06:19.225	1
0.849	0.006	-0.046	2024-01-02 18:06:19.344	2
1.253	-0.08	-0.132	2024-01-02 18:06:19.435	2
1.504	-0.095	-0.027	2024-01-02 18:06:19.562	2
0.925	0.819	0.067	2024-01-02 18:06:19.645	1
0.584	0.021	0.278	2024-01-02 18:06:19.764	1
0.813	0.051	0.116	2024-01-02 18:06:19.824	1
1.236	0.017	0.125	2024-01-02 18:06:19.944	0
1.314	-0.056	0.172	2024-01-02 18:06:20.350	0
0.91	0.324	0.03	2024-01-02 18:06:20.163	1
0.797	-0.0	-0.132	2024-01-02 18:06:20.245	2
0.779	0.16	-0.021	2024-01-02 18:06:20.364	1
0.967	-0.017	-0.103	2024-01-02 18:06:20.465	2
1.087	0.168	-0.024	2024-01-02 18:06:20.574	2
0.972	0.594	0.187	2024-01-02 18:06:20.635	1
0.81	0.259	0.233	2024-01-02 18:06:20.763	1
0.841	0.021	0.071	2024-01-02 18:06:20.845	1
1.091	-0.045	0.155	2024-01-02 18:06:20.967	0
1.076	0.099	0.241	2024-01-02 18:06:21.650	0
1.071	0.438	0.071	2024-01-02 18:06:21.174	2
0.816	0.072	-0.126	2024-01-02 18:06:21.235	2
0.836	0.017	-0.042	2024-01-02 18:06:21.363	2
0.914	0.002	-0.023	2024-01-02 18:06:21.445	2
1.208	-0.11	-0.051	2024-01-02 18:06:21.576	2
1.199	0.055	-0.004	2024-01-02 18:06:21.665	2
1.036	0.271	0.306	2024-01-02 18:06:21.775	1
0.747	0.529	0.162	2024-01-02 18:06:21.874	1
0.841	0.155	0.089	2024-01-02 18:06:22.160	1
0.855	0.319	0.232	2024-01-02 18:06:22.440	1
0.899	0.231	0.235	2024-01-02 18:06:22.169	1
0.934	0.184	0.329	2024-01-02 18:06:22.283	1
1.146	0.064	0.2	2024-01-02 18:06:22.377	0
0.884	0.5	0.009	2024-01-02 18:06:22.466	1
0.872	0.094	-0.142	2024-01-02 18:06:22.584	2
1.063	0.059	-0.214	2024-01-02 18:06:22.647	2
0.864	0.055	0.02	2024-01-02 18:06:22.773	2
1.023	0.119	0.075	2024-01-02 18:06:22.881	2
0.988	0.097	0.024	2024-01-02 18:06:22.978	2
0.99	0.146	0.079	2024-01-02 18:06:23.670	2
0.977	0.071	0.062	2024-01-02 18:06:23.184	0
0.971	0.095	0.036	2024-01-02 18:06:23.279	2
0.979	0.085	0.063	2024-01-02 18:06:23.397	2
0.963	0.088	0.05	2024-01-02 18:06:23.475	2
0.987	0.082	0.042	2024-01-02 18:06:23.576	2
0.973	0.107	0.051	2024-01-02 18:06:23.670	2
0.969	0.078	0.047	2024-01-02 18:06:23.786	2
0.97	0.09	0.043	2024-01-02 18:06:23.877	2
0.992	0.109	0.048	2024-01-02 18:06:23.998	2
1.01	0.085	0.034	2024-01-02 18:06:24.760	2
0.982	0.098	0.04	2024-01-02 18:06:24.177	2
0.99	0.094	0.04	2024-01-02 18:06:24.276	2
0.99	0.087	0.039	2024-01-02 18:06:24.386	2
0.994	0.091	0.044	2024-01-02 18:06:24.491	2
1.009	0.066	0.031	2024-01-02 18:06:24.597	2
0.994	0.101	0.058	2024-01-02 18:06:24.687	2
1.007	0.083	0.033	2024-01-02 18:06:24.807	2
0.985	0.083	0.045	2024-01-02 18:06:24.868	2
0.998	0.056	0.044	2024-01-02 18:06:24.986	2
1.0	0.074	0.043	2024-01-02 18:06:25.780	2
0.989	0.081	0.048	2024-01-02 18:06:25.194	2
0.999	0.081	0.048	2024-01-02 18:06:25.288	2
0.995	0.105	0.052	2024-01-02 18:06:25.404	2
0.99	0.08	0.054	2024-01-02 18:06:25.476	2
1.004	0.089	0.046	2024-01-02 18:06:25.586	2
